gid,season,week,home/away
2666,2010,1,-1
2676,2010,2,1
2702,2010,3,-1
2706,2010,4,1
2722,2010,5,-1
2732,2010,6,1
2757,2010,7,1
2764,2010,8,-1
2783,2010,9,1
2808,2010,11,-1
2818,2010,12,-1
2834,2010,13,1
2850,2010,14,-1
2891,2010,16,1
2898,2010,17,1
2914,2010,18,-1
2916,2010,19,-1
2919,2010,20,-1
2921,2010,21,1
2922,2011,1,1
2945,2011,2,-1
2966,2011,3,-1
2981,2011,4,1
2997,2011,5,-1
3003,2011,6,1
3021,2011,7,-1
3049,2011,9,-1
3067,2011,10,1
3070,2011,11,1
3082,2011,12,-1
3111,2011,13,-1
3122,2011,14,1
3137,2011,15,-1
3160,2011,16,1
3168,2011,17,1
3185,2011,19,1
3201,2012,1,1
3205,2012,2,1
3236,2012,3,-1
3249,2012,4,1
3255,2012,5,-1
3278,2012,6,-1
3286,2012,7,-1
3299,2012,8,1
3311,2012,9,1
3340,2012,11,-1
3363,2012,12,-1
3372,2012,13,1
3395,2012,14,1
3398,2012,15,-1
3421,2012,16,1
3439,2012,17,-1
3446,2012,18,1
3450,2012,19,-1
3467,2013,1,-1
3480,2013,2,1
3492,2013,3,-1
3526,2013,5,1
3540,2013,6,-1
3560,2013,7,1
3574,2013,8,-1
3588,2013,9,1
3590,2013,10,1
3615,2013,11,-1
3624,2013,12,1
3632,2013,13,-1
3652,2013,14,1
3677,2013,15,-1
3691,2013,16,1
3704,2013,17,-1
3715,2013,18,1
3723,2014,1,-1
3751,2014,2,1
3759,2014,3,-1
3772,2014,4,-1
3784,2014,5,1
3805,2014,6,-1
3818,2014,7,1
3842,2014,8,-1
3868,2014,10,1
3873,2014,11,1
3888,2014,12,-1
3912,2014,13,1
3930,2014,14,1
3933,2014,15,-1
3955,2014,16,-1
3964,2014,17,1
3985,2014,19,1
3987,2014,20,-1
3991,2015,1,-1
